suppressed,malaria_eliminated,num_fertile_females,adult_total_numbers,adult_female,wt,dr,r1,r2,carrier_mos_frequency,healthy_mosquito,carrier_mosquito,carrier_mosquito2,patient_mosquito,healthy_human,carrier_human,patient_human,resistant_human,chasing,chasing_start,chasing_end,avg_pop_during_chase,fertile_female_average,simulation_end,transmission rate to mosquitoes,transmission rate to humans,average dispersal,weekly remating chance,mosquito reproduction chance,animal biting rate,viability fitness,female fecundity fitness,germline resistance rate,drive conversion efficiency,embryo resistance rate,functional resistance proportion,low-density growth rate,seasonal population change,infection duration,immunity duration,density_num_adult_female,human_density,sim_bound,malaria_prevalence,mosquito_prev,ID
0.0,1.0,22193.6,47730.9,27872.3,9061.0,22154.1,84037.4,11976.1,16249.7,27872.3,0.0,0.0,0.0,4800.0,0.0,0.0,0.0,1.0,214.0,593.7,56756.85649440637,18269.611125074785,600.0,0.22149999999999997,0.5999999999999999,0.1593,0.9469999999999998,0.274,0.577,0.868,0.643,0.7519,0.9350000000000002,0.3504999999999999,1.3e-05,9.0,0.0,13.0,3.0,3000.0,300.0,4.0,0.0,0.4708911931363905,8440.0
0.0,0.0,53154.9,91474.7,53171.1,1765.6,235.9,240430.5,2608.4,234.2,52024.3,0.0,303.8,843.0,3350.5,176.7,929.8,343.0,1.0,173.0,600.0,93589.53793911006,38676.45644028103,600.0,0.2534,0.732,0.0806,0.096,0.25999999999999995,0.015000000000000003,0.8990000000000002,0.6769999999999999,0.4431,0.9879999999999999,0.35849999999999993,0.00031500000000000007,10.0,0.2,11.0,4.0,3000.0,300.0,4.0,0.23052083333333334,1.0,9489.0
0.0,0.0,61100.3,105345.1,61109.5,87.8,1352.3,280518.4,1277.7,1343.6,59599.1,0.0,394.1,1116.3,2205.2,196.9,1425.8,972.1,1.0,267.3,600.0,102069.75032098753,44329.28720578507,600.0,0.15229999999999996,0.5199999999999999,0.0846,0.437,0.3410000000000001,0.03699999999999999,0.974,0.9339999999999999,0.4584,0.9209999999999999,0.39299999999999996,0.0006899999999999999,5.0,0.4,21.0,13.0,3000.0,300.0,4.0,0.33806250000000004,1.0,5925.0
0.7,0.7,16789.4,28927.3,16791.2,9.2,432.4,76924.8,61.2,429.7,15314.4,0.0,376.4,1100.4,2959.2,113.7,733.5,993.6,0.1,167.0,600.0,103355.85681293302,44853.785219399535,308.7,0.157,0.49000000000000005,0.1598,0.756,0.718,0.35,0.9730000000000001,0.9490000000000001,0.4795,0.967,0.004000000000000001,0.000196,6.0,0.2,12.0,18.0,3000.0,300.0,4.0,0.17479166666666668,0.3,6140.0
0.0,0.0,67343.5,116373.5,67360.3,1135.7,534.7,307538.5,3359.9,533.6,65967.5,0.0,373.8,1019.0,3028.5,226.0,1184.7,360.8,1.0,178.3,600.0,101521.47081978511,42309.28602758237,600.0,0.1274,0.484,0.0959,0.7219999999999999,0.41899999999999993,0.5860000000000001,0.951,0.8,0.3363,0.8720000000000001,0.6512,0.0003089999999999999,10.0,0.5,14.0,5.0,3000.0,300.0,4.0,0.2938958333333333,1.0,4348.0
0.0,0.0,77685.1,133890.4,77697.1,462.0,17.5,355866.7,3689.2,17.5,75386.0,0.0,641.2,1669.9,1958.5,471.0,1789.4,581.1,1.0,247.5,561.7,106645.23034276857,46588.464022006425,600.0,0.11300000000000002,0.753,0.1413,0.399,0.495,0.094,0.883,0.953,0.3033,0.9040000000000001,0.34730000000000005,0.00059,18.0,0.7,11.0,7.0,3000.0,300.0,4.0,0.47091666666666676,1.0,4099.0
0.2,0.2,61635.2,106388.4,61640.4,0.0,1811.6,284091.9,193.7,1801.2,61354.3,0.0,71.5,214.6,4332.4,42.7,385.2,39.7,0.6,203.16666666666666,600.0,106122.44454847393,46220.13642733561,518.1,0.054000000000000006,0.257,0.15830000000000002,0.43499999999999994,0.526,0.07000000000000002,0.9800000000000001,0.9659999999999999,0.6060999999999999,0.967,0.0129,0.00077,10.0,0.7,29.0,1.0,3000.0,300.0,4.0,0.08810416666666666,0.8,269.0
0.5,0.8,22108.1,39129.2,22656.4,1173.4,4470.3,99563.5,128.8,3214.6,21787.1,0.0,237.2,632.1,4019.3,76.0,385.1,319.6,0.5,225.2,557.0,43012.67805586065,17093.69714071424,425.2,0.14999999999999997,0.253,0.11300000000000002,0.06000000000000001,0.7379999999999999,0.663,0.9410000000000001,0.861,0.6205,0.999,0.0039,0.000568,5.0,0.5,13.0,15.0,3000.0,300.0,4.0,0.095375,0.31143316513480396,5839.0
0.2,0.3,46394.9,79944.1,46397.1,133.1,358.9,213613.4,597.8,357.1,45213.6,0.0,307.4,876.1,2372.3,119.8,1167.6,1140.3,0.7,256.0,600.0,104084.61610205298,45427.24069341068,524.4,0.0637,0.21800000000000003,0.1083,0.8219999999999998,0.812,0.951,0.945,0.7670000000000001,0.24630000000000002,0.9439999999999997,0.0814,0.00039899999999999994,3.0,0.29999999999999993,24.0,20.0,3000.0,300.0,4.0,0.2672083333333333,0.8,982.0
0.0,0.5,51064.5,87720.0,51114.4,1093.3,1294.8,228413.0,3596.1,1267.1,50760.5,0.0,88.3,265.6,3450.1,65.9,737.2,546.8,1.0,214.1,587.2,82987.0919179405,34666.9002840644,600.0,0.0877,0.8240000000000001,0.1568,0.4,0.30900000000000005,0.24800000000000005,0.881,0.769,0.6403999999999999,0.9719999999999999,0.2881,0.0001,5.0,0.1,23.0,17.0,3000.0,300.0,4.0,0.1673125,1.0,2638.0
