iter	RMSE
0	0.1469872527
1	0.1419314203
2	0.1382643787
3	0.1343582037
4	0.1308846756
5	0.1277130261
6	0.1247149017
7	0.1221484506
8	0.1199652647
9	0.117904079
10	0.1161533945
11	0.1144573037
12	0.1125905327
13	0.1110027186
14	0.1096268179
15	0.1082311603
16	0.1072609957
17	0.1059961005
18	0.1050100358
19	0.1040516057
20	0.1030994648
21	0.1021226802
22	0.1011263066
23	0.1003845248
24	0.09942906303
25	0.09868462842
26	0.09783828836
27	0.09720774824
28	0.09654617967
29	0.0957351063
30	0.0951764073
31	0.09446396383
32	0.09394217968
33	0.0932991657
34	0.09283041938
35	0.09242476002
36	0.09190948916
37	0.09137277029
38	0.09079072776
39	0.09037157042
40	0.08999513922
41	0.08956601351
42	0.08922766636
43	0.08885809482
44	0.08855930497
45	0.08806941391
46	0.08751873538
47	0.08717354181
48	0.08693374063
49	0.08661365006
50	0.08600142168
51	0.0856443501
52	0.08543862221
53	0.08511710349
54	0.08467993246
55	0.08440544952
56	0.08413882442
57	0.08388459006
58	0.08355182541
59	0.08320041737
60	0.08299802578
61	0.08268841325
62	0.08251955163
63	0.08219686937
64	0.08187869231
65	0.08148154253
66	0.08110041313
67	0.08076935815
68	0.08047830185
69	0.08022756731
70	0.07997259941
71	0.07976912278
72	0.07959680086
73	0.07936905031
74	0.07912001924
75	0.07890383921
76	0.07873763673
77	0.07848974022
78	0.07827045383
79	0.07796436416
80	0.07777373869
81	0.07749874346
82	0.07712016594
83	0.0768200273
84	0.07659725379
85	0.07631981038
86	0.07606250205
87	0.07577054376
88	0.0755469755
89	0.07533248302
90	0.07508770429
91	0.07491770978
92	0.07459718962
93	0.07433209486
94	0.07412823148
95	0.07394577048
96	0.07372409536
97	0.07355660947
98	0.07326206177
99	0.07302371309
100	0.07274986806
101	0.07247121901
102	0.07227196863
103	0.07207068315
104	0.07181520356
105	0.07161400684
106	0.07132961956
107	0.07110706411
108	0.0708983098
109	0.0706589879
110	0.07045125137
111	0.07024872489
112	0.0700556357
113	0.06984054237
114	0.06964893864
115	0.06944527192
116	0.06927819236
117	0.06910743068
118	0.06894608053
119	0.0687244534
120	0.06855721188
121	0.06836481694
122	0.06815874638
123	0.06798426098
124	0.06775755507
125	0.06755518523
126	0.06737863907
127	0.06722685134
128	0.06700110294
129	0.06679648299
130	0.06661676827
131	0.06647121515
132	0.06627511249
133	0.06610711333
134	0.06591303853
135	0.06572926196
136	0.0655815465
137	0.06542573606
138	0.06520054332
139	0.06501400121
140	0.0648426682
141	0.06466722668
142	0.06450845579
143	0.06431878432
144	0.06415095155
145	0.06393053381
146	0.06377905569
147	0.06364916503
148	0.06351187537
149	0.0633658721
150	0.06325007816
151	0.06310501134
152	0.06293698576
153	0.06273726553
154	0.06258385166
155	0.0624509076
156	0.06232130355
157	0.06218655211
158	0.06201258711
159	0.06189491009
160	0.06178284009
161	0.06165175524
162	0.06146811989
163	0.06133513635
164	0.06118963628
165	0.06099413779
166	0.06084381646
167	0.06072926395
168	0.06059798539
169	0.06044894258
170	0.06034327262
171	0.06020616518
172	0.06007285321
173	0.05992641264
174	0.05979136015
175	0.05967862478
176	0.05951367172
177	0.05937595105
178	0.0592338022
179	0.05908964321
180	0.058984055
181	0.05884922368
182	0.05870473611
183	0.0585693579
184	0.05842763335
185	0.05829018755
186	0.05817379014
187	0.05807145055
188	0.05794458626
189	0.05781592092
190	0.05767902767
191	0.05755733622
192	0.05745907972
193	0.05735177999
194	0.05722773623
195	0.05713292311
196	0.05699255692
197	0.05686499753
198	0.05677225893
199	0.05664815002
200	0.05653849663
201	0.05642625677
202	0.056314301
203	0.0562009477
204	0.05609067703
205	0.05596853562
206	0.05583440175
207	0.05573762686
208	0.05564512352
209	0.05554473021
210	0.05545430386
211	0.05533498534
212	0.05524992188
213	0.055142519
214	0.05505511195
215	0.05492679426
216	0.05483659616
217	0.05472804555
218	0.05461628507
219	0.05448992915
220	0.05438092994
221	0.05429099223
222	0.05418172497
223	0.05406207108
224	0.0539633105
225	0.05386717196
226	0.05377541039
227	0.05369239647
228	0.05359177825
229	0.05348858532
230	0.0533855414
