iter	Passed	Remaining
464	782	900
465	784	898
466	786	897
467	787	895
468	789	893
469	790	891
470	792	890
471	794	888
472	796	887
473	798	885
474	799	884
475	801	882
476	802	880
477	804	878
478	805	876
479	807	874
480	808	872
481	810	870
482	811	868
483	813	866
484	814	864
485	816	863
486	818	861
487	819	859
488	820	857
489	822	856
490	824	854
491	825	852
492	827	850
493	828	849
494	830	847
495	831	845
496	833	843
497	835	842
498	837	840
499	838	838
500	840	836
501	842	835
502	843	833
503	845	831
504	847	830
505	850	830
506	853	830
507	855	828
508	857	827
509	859	825
510	861	824
511	863	822
512	864	821
513	866	819
514	868	817
515	870	816
516	872	814
517	873	812
518	875	811
519	876	809
520	878	807
521	880	806
522	881	804
523	883	802
524	884	800
525	886	798
526	888	797
527	889	795
528	891	793
529	892	791
530	894	789
531	895	788
532	897	786
533	899	784
534	900	782
535	902	781
536	904	779
537	905	777
538	907	776
539	909	774
540	910	772
541	912	770
542	913	769
543	915	767
544	916	765
545	918	763
546	920	761
547	921	760
548	923	758
549	924	756
550	926	754
551	928	753
552	929	751
553	931	749
554	932	747
555	934	745
556	935	744
557	937	742
558	938	740
559	940	738
560	941	737
561	943	735
562	945	733
563	946	732
564	948	730
565	950	728
566	951	726
567	953	725
568	954	723
569	956	721
570	958	720
571	960	718
572	962	717
573	964	715
574	966	714
575	968	712
576	969	711
577	971	709
578	973	707
579	974	705
580	976	704
581	978	702
582	979	700
583	981	699
584	982	697
585	984	695
586	986	693
587	987	692
588	989	690
589	991	688
590	992	687
591	994	685
592	996	683
593	997	682
594	999	680
595	1001	678
596	1002	676
597	1004	674
598	1005	673
599	1007	671
600	1009	670
601	1011	668
602	1013	666
603	1014	665
604	1016	663
605	1017	661
606	1019	659
607	1020	658
608	1022	656
609	1024	654
610	1025	652
611	1027	651
612	1029	649
613	1031	648
614	1032	646
615	1034	645
616	1036	643
617	1038	641
618	1039	640
619	1041	638
620	1043	636
621	1044	634
622	1046	633
623	1047	631
624	1049	629
625	1050	627
626	1052	626
627	1056	625
628	1057	623
629	1058	621
630	1060	620
631	1061	618
632	1063	616
633	1065	615
634	1067	613
635	1068	611
636	1070	610
637	1072	608
638	1073	606
639	1075	604
640	1077	603
641	1078	601
642	1080	599
643	1081	597
644	1083	596
645	1084	594
646	1086	592
647	1087	590
648	1089	589
649	1091	587
650	1092	585
651	1094	584
652	1095	582
653	1097	580
654	1099	578
655	1100	577
656	1101	575
657	1103	573
658	1105	571
659	1106	570
660	1108	568
661	1109	566
662	1111	564
663	1112	563
664	1114	561
665	1117	560
666	1118	558
667	1120	556
668	1121	555
669	1123	553
670	1125	551
671	1126	550
672	1128	548
673	1130	546
674	1132	545
675	1134	543
676	1135	541
677	1137	540
678	1139	538
679	1140	536
680	1142	535
681	1144	533
682	1145	531
683	1147	529
684	1148	528
685	1150	526
686	1151	524
687	1153	523
688	1155	521
689	1157	520
690	1159	518
691	1160	516
692	1162	514
693	1163	513
694	1165	511
695	1167	509
696	1168	508
697	1170	506
698	1171	504
699	1173	502
700	1175	501
701	1177	499
702	1179	498
703	1180	496
704	1182	494
705	1184	493
706	1185	491
707	1187	489
708	1188	487
709	1190	486
710	1192	484
711	1193	482
712	1195	481
713	1197	479
714	1198	477
715	1200	476
716	1202	474
717	1203	472
718	1205	471
719	1206	469
720	1208	467
721	1210	466
722	1212	464
723	1214	462
724	1215	461
725	1217	459
726	1219	458
727	1221	456
728	1223	454
729	1225	453
730	1227	451
731	1228	449
732	1230	448
733	1232	446
734	1233	444
735	1235	443
736	1236	441
737	1238	439
738	1240	438
739	1242	436
740	1244	434
741	1246	433
742	1247	431
743	1249	429
744	1250	428
745	1252	426
746	1253	424
747	1255	423
748	1257	421
749	1259	419
750	1261	418
751	1262	416
752	1264	414
753	1266	413
754	1267	411
755	1269	409
756	1271	408
757	1273	406
758	1275	404
759	1276	403
760	1277	401
761	1279	399
762	1280	397
763	1282	396
764	1284	394
765	1286	392
766	1287	391
767	1289	389
768	1291	387
769	1292	386
770	1294	384
771	1296	382
772	1297	381
773	1299	379
774	1300	377
775	1302	375
776	1303	374
777	1305	372
778	1306	370
779	1307	368
780	1309	367
781	1310	365
782	1312	363
783	1313	361
784	1315	360
785	1316	358
786	1318	356
787	1322	355
788	1323	353
789	1325	352
790	1326	350
791	1328	348
792	1330	347
793	1331	345
794	1333	343
795	1335	342
796	1336	340
797	1338	338
798	1339	337
799	1341	335
800	1342	333
801	1344	331
802	1346	330
803	1348	328
804	1350	327
805	1352	325
806	1353	323
807	1355	322
808	1357	320
809	1358	318
810	1360	316
811	1361	315
812	1363	313
813	1365	311
814	1366	310
815	1368	308
816	1369	306
817	1371	305
818	1373	303
819	1374	301
820	1376	300
821	1378	298
822	1379	296
823	1381	295
824	1384	293
825	1386	292
826	1387	290
827	1389	288
828	1391	286
829	1393	285
830	1395	283
831	1396	282
832	1398	280
833	1399	278
834	1401	276
835	1403	275
836	1404	273
837	1406	271
838	1407	270
839	1409	268
840	1411	266
841	1412	265
842	1414	263
843	1416	261
844	1417	260
845	1419	258
846	1420	256
847	1422	254
848	1424	253
849	1425	251
850	1427	249
851	1428	248
852	1430	246
853	1431	244
854	1433	243
855	1434	241
856	1435	239
857	1437	237
858	1438	236
859	1440	234
860	1441	232
861	1443	231
862	1447	229
863	1448	228
864	1450	226
865	1452	224
866	1454	223
867	1455	221
868	1457	219
869	1459	218
870	1460	216
871	1462	214
872	1463	212
873	1465	211
874	1466	209
875	1468	207
876	1470	206
877	1472	204
878	1473	202
879	1475	201
880	1477	199
881	1479	197
882	1480	196
883	1482	194
884	1483	192
885	1485	191
886	1487	189
887	1489	187
888	1490	186
889	1491	184
890	1493	182
891	1494	181
892	1496	179
893	1498	177
894	1499	175
895	1501	174
896	1503	172
897	1504	170
898	1506	169
899	1507	167
900	1511	166
901	1512	164
902	1514	162
903	1516	161
904	1517	159
905	1519	157
906	1520	155
907	1522	154
908	1524	152
909	1527	151
910	1528	149
911	1530	147
912	1532	146
913	1534	144
914	1535	142
915	1537	140
916	1539	139
917	1540	137
918	1542	135
919	1544	134
920	1546	132
921	1547	130
922	1549	129
923	1551	127
924	1553	125
925	1554	124
926	1556	122
927	1558	120
928	1559	119
929	1561	117
930	1562	115
931	1564	114
932	1565	112
933	1567	110
934	1568	109
935	1570	107
936	1572	105
937	1573	104
938	1575	102
939	1577	100
940	1578	98
941	1580	97
942	1581	95
943	1583	93
944	1585	92
945	1587	90
946	1588	88
947	1590	87
948	1592	85
949	1594	83
950	1595	82
951	1597	80
952	1599	78
953	1600	77
954	1602	75
955	1603	73
956	1605	72
957	1606	70
958	1608	68
959	1609	67
960	1611	65
961	1613	63
962	1614	62
963	1616	60
964	1618	58
965	1619	57
966	1621	55
967	1623	53
968	1624	51
969	1626	50
970	1628	48
971	1629	46
972	1631	45
973	1632	43
974	1634	41
975	1635	40
976	1637	38
977	1638	36
978	1640	35
979	1641	33
980	1643	31
981	1645	30
982	1646	28
983	1648	26
984	1651	25
985	1653	23
986	1654	21
987	1656	20
988	1658	18
989	1659	16
990	1661	15
991	1662	13
992	1664	11
993	1665	10
994	1667	8
995	1668	6
996	1670	5
997	1672	3
998	1674	1
999	1675	0
